screen_name	name	id	location	followers_count	friends_count	description
ROBERTN73456854	ROBERT NIRO	1230932383404318721	 	1	84	ROBERT NIRO
nc198916	chi1989	926593532999106560	Chicago, IL	0	3863	KDs 3rd burner account
Graceedna23	Grace	872620221449764865	United States	5	469	
libs_lil	LilLibs	1502799473877135367		0	42	
thirdcoastryan	Ryan	14102935		44	226	
TracyDilligard1	Tracyfeel'nbeechy	804538054702665728	South Carolina, USA	25	288	
O0p300	O0p	1467722525438316546	United States	1	121	He/Him/African American/Stan of many artists/🏳️‍🌈 (like, extremely)
adernworld_	adern 🇺🇦	2408006503	he/they	491	808	level 17 wood elf ranger |🌹| filmmaker
888dmpr	PD	363853928	San Francisco, CA	6	270	24/7 being ME
helloitsmillie	Millie	868045415446454272	London, United Kingdom	222	851	24 🌸 London 🌸 MA student at @theatreartsmdx 🌸 she/they 🌸 #BlackLivesMatter
Minixia11	Novavida	301385790		2	114	
DanAlme66710296	Don Menard	1144063909873061889		88	677	Boxing Fanatic. Sci Fi and Horror guy.
shitface0000000	.	1501346909151105025		0	32	
CristaGuzior	Crista Guzior	1502768417291616264	Illinois, USA	0	2	BaskaCherLovely
squeak112	Bob	143431238		2	7	
NuttyIrishman29	Mike Moran	3387485811	New York, USA	131	1436	I'm a disciple of Jesus Christ and it's important to me.
ratgirlratboi	ratgirlratboi	4858339743	Manchester, England	24	210	🔊🎶🌇Snapchat- niamh.yeahjax | Instagram @ ratgirlratboi
kathrillhouse	Katherine Allan (10 minute version)	514985258	Melbourne, Australia	531	2452	Fyre Festival scholar. She/her. Subscribe to my weekly comedy newsletter below! Pay the rent: https://t.co/Yc0c6A7ORi
AIndividual2	🏳️‍🌈Elecktrina🧦🇬🇧🇺🇲🇨🇦🇦🇺🇳🇿	1196650956676587520	United States	305	4409	🌹She/her🌹 🌹Social Democrat🌹 🌹Progress and Security🌹 🌹mostly progressive🌹
EmmaWhiteMusic	EMMA WHITE	24169471	Nashville, TN	5504	210	“Thirties” & “Mothers & Daughters” out now ✨ songwriter | co-owner & founder @wlabelnash #COWBOY out now!
WooitsMolly	💜Steph💜	740276909590773761	Dublin, Ireland	34	349	
achildofneptune	🧚‍♀️🧚‍♀️	1461344896900427789		0	111	
Young_Midoriya_	Deku	1438331691106545665	Ur Mom	12	170	Literally Nothing
RenaeLegge	RenaeLegge	520912174	Australia	41	471	
surfertheory	nick 🐄	1482197677957959687	she/he/they 🤍	84	214	juicy couture princess + scorpio
VivienneHaute	Vivienne	1468112758063480833	London	81	368	23. Fashion NFT. Hftwt. Couture addict. Aries.
km5200	charles mcmillan	1699759058	Spring TX	20	149	
Vale_Johnson	Valeria Maria	772695152		170	443	don't worry, be happy :)
babiforeignhoe	Tha Real Babi Foreign 🥭🐾	1494517665037225985	7 South Broadway Baltimore MD	15	450	Lil Arndrae 🇦🇷
srhtonin	sarah	3613054756	Denver, CO	190	775	born in a hurry, always late
h1ghw4ters	bagstiv	1350539702705729536		0	13	
MaxineRKatz	Maxine R. Katz	1258539654065856515	Urbana, Illinois	426	683	MA Student @ReligionUIUC | Theory & Ritualization | Hinduism & Catholicism | Interfaith Curricula & Initiatives | Student Director Midwest Region @AARWeb |
DonnaPendergr60	Donna Pendergrass	1500624338457808896		13	66	Born again Christian Democrat. Mom and grandma.
Shydazee	Glow Of Sunrise💎🏁	123419656	STL | LA	467	589	Creator of Black Girls Love Vinyl. Glow of Sunrise. HamptonU Alumna. IG: shy.daze
Pennybollas13	penny bollas	1502792291316080643		4	32	
jsydntal1	Jay Ell	1490980768578899969	Seattle, WA	153	1047	#KeepItReal #CommonSense over feelings. #MediaIsTheRealVirus...Don't care about trolls. Samoa muamua lē Atua.
vekoppe	Veline Koppe	34693271	Porto Alegre-Canoas/RS	98	609	
Krish1809_	Krishna Priya l Diwa	1474396849603710976		1	29	
Angelinaxgtz	Angelina Gutierrez 🖤✨	833893737944215552		44	209	🇩🇪🇲🇽 Instagram: aangelinagutierrez
SofiaVilla7	BG	614641449	Mill Creek, WA	2	379	
BrianBrian3332	bt	45709070	Carleton Place, Ontario	0	203	
NameWithA77	E j	1883360388	Maintoba Canada 	70	314	Working guy, Car guy, working on being a better me......but Im still an ass hole
epica_world	Epica_world	1498495022437744645		4	82	
alexjvyne	alex	218703805	Los Angeles, CA	526	489	(she/hers) 🇵🇭
buziexcellency	BEX Academy	1176279715088424960	Kyiv	235	386	Unlock your trading potential. We cover every aspect of the markets such as Options & Futures Trading. #NotFinancialAdvice
boixgenius	m🥀	67228666	nv	503	515	🦢👑
MmeRaffaele	Mme. Raffaele	1490801244889391108	NYC	20	207	Rock and Roll Juggernaut, Writer, Muse, Animal Lover, Wendigo Boss, Cycle Slut From Hell, Nerd Gamer, Fagwoman, Killer Queen.
_brslv	b	1207242260842242048		47	221	
tahlmorra	Tahlmorra	2910581374	North Carolina, USA	439	1730	Male 35 ace red wolf hiking the mountains of NC. Banner by @KibaRinWolf . Fursuit by @CCFursuits . Bourbon, beer and deeply nerdy. Sometimes NSFW.
NathanHarkins48	Nathan Harkins	1491830699908898816		9	239	
ajjt43	yes	1357635435422314500		0	65	
egfco	Gussie O'Shea	912968756		9	348	Mom, Grandmother, Teacher
KieraOsiecki	keezy	559655482		1229	623	welcome back 😚
JudithKlinger	JudithKlinger	17969032	Montone, Italy & NYC & Utah	1146	1763	Family. Friends. Food. Resistance. Activist. And an unrelenting passion to eliminate the Electoral College. My vote should count.
de_vallion	De Vallion Piper	1459978528351715330		81	648	
lindsayafsari	Lindsay Afsari	831689084301148160		30	77	
andreafrancesco	Andrea F. Berni	8909992	Milano, Italy	1519	236	Direttore di https://t.co/uFL33umy7A, | Fotografo
SpenseRon	ron spense	1428472797152612352	toronto	684	1573	I've played by the rules; worked hard, stood up to bullies, helped those in need, & served in my country.😎😎😎
kahfka	-	1234776444326178816		6	141	
SherryMark711	Sherry Mark	1502459282750595072		0	2	Am sherry Mark Nice meeting lady and single lady indeed💕💕
Mertroid	ABORTION PILLS 💊	17944696	Los Angeles, CA	607	470	Mississippi born. She/Her 🏳️‍🌈 🍳
CassViMo	chaotic cass	30608077		399	430	Whitexican. Cat lady. Also, Kakashi ❤ Mi esposo habla en reggaetón.
wendyhughes6	wendy hughes	351847612		13	51	
Teri4201	Teri420	1497979230755311616		6	102	
2overtheworld	Janet	24513473	Canada Vancouver Island 🇨🇦🎄	351	564	I am a proud Canadian who loves the sane Americans and I am now finally so happy Joe Biden is your president. I have American relatives none Trump supporters.
larrys818	Left4ever	603026850	Tempe, AZ	220	339	Live Laugh Love….the three most important words I strive to live by
mjhazell713	Michelle Hazell	1500741436794449922		2	22	
cakeycherub	precious moments	1493374866375856130	house in the clouds w bf	0	25	
kwanfiesta	r	1308134994062254082	she/her	2	363	la la love
Dan97681542	Dan	1494218767684964352		115	3035	Artist, lover of knowledge.
AndrewNunnari	Drewbacca	449358968		1064	1855	Galactic Empire Cabling Services. Illustrator. The Clash, Comics, Star Wars. Canada.
Sabrina31001415	Sabrina Lawrence	1343298187306684416		3	5	
colbylapolla	Colby Lapolla	60599147	LA	425	554	she/her. former one-trick pony.
SarahNicoleRad	Sarah	870930016065822720	Los Angeles, CA	178	1947	Hobbies include: reading financial statements and listening to the womps
ClarkSimoon	Simoon Clark	1305535670807654401	Jacksonville, FL	43	103	💖🎩 Sometimes we could always use a little magic - don’t hide the magic within you 🎩💖. insta: @mr_simoon_official
piefiery	cócó-dependente	1123340518526791680		163	266	I love vax ,💅
bobavanjoey	z.j	156140163		970	1990	🧋👻😈
gayonhakk	SLAYje	1458538097470287872		7	94	not a tomoon.
sendethhelp	mia	1189308112894943232	United Kingdom	0	124	he/him
frozensun11	Kelly McCarty	44845813	Las Vegas, NV	2248	4970	Story seeker. Idea explorer. Avid movie watcher. Reader & sometimes I write.
LatonaShadow	Shadow LaTona	1489947913614725120		7	292	
moodybishhhh	.	892132724		3	49	#_#
CatherineED4	Catherine	1394817202230988804		14	149	Proud Canadian & Mom.
LauraAFey	Laura Fey	193500600		8	224	
swtcre4ture	anna	932892684	Barcelona	638	701	if its not you its not anyone |fan| 20 |⁎⁺˳✧༚ she/her⁎⁺˳✧
NotSoPerfect11	Phyllis	921814070		14	152	Imperfection is beauty. Madness is genius. It is better to be absolutely ridiculous than absolutely boring. (Marilyn Monroe)
PippaK1960	PippaK1960	1496326117283794947		0	6	
RusselltheBerg	Russell Berger	1500214267529895936		0	69	Gay
gab_roselli	gab	136093654		705	246	
lausoa6	lau	1484779104209625088		10	16	
tynednzr	Tynednzr	1369227673373839361	Havelock North, Hastings Distr	0	8	
brianna_tolle	Breezy😛	1488975886942720000		4	42	🐝
eton_inemesit	Lady of leisure	738382986	Lagos, Nigeria	1502	1442	A woman womaning | She/her
zansiq	siqzan	1364062522748231680	16 he/they	4	137	༄💫
alex88mph	alex le	596158179	he/him, texas	94	596	tamu '19, make programs and video games sometimes, follower of the lorde, and her son, john halo, watched sopranos once, g.o.a.t. tv show
maddieracc	maddie	3011414188		79	236	
PurifyingFlame_	💛Fliss💛	1454589143212863492		2852	3018	
DrewWisse	Drew W.	894989916567994368	Little Falls, NJ	49	91	NFL NHL fan. GIANTS and RANGERS !!!!! I like music, Grateful Dead, Pink Floyd,the blues.Married 3 kids. I have no patience for stupid bastards!!
Ajhenn12	Aidan Hennessey	2565832837		64	1961	Former St. Mary's student and cross country/ track runner
conzjuve	mario consolmagno☆☆☆	66800449	Ontario, Canada 	172	438	Carpenter , juventus is my religion.go Habs go,forza impact.
daphneceli	daphne	1502767637402734597		0	54	
Stacerbell	Stacerbell ✌🏻😊🌈🦋	44512388	The Brokedown Palace	334	474	Armchair psychologist/Bacon lover/Cat whisperer/Deadhead/Poet/Ravenous butterfly/Musician/Baked to perfection/Wildflower/1 John 4:16
Stephan75692605	Stephanie Graham	1468942699147452416		5	32	People , person
vestadegiovanni	Vesta De Giovanni	3034908237	Aurora, Ontario	14	153	
gentlerenegade	Essence	945066218238697477	My heart is in Itaewon	17	323	🍓Hello! I rarely tweet. I mainly use this account to interact with others. I promise I'm not a spam account. I'm just ugly and boring 🤣🍓
oh_notnow	s	2822653205		153	75	🙃
Leanna78358	Leanna	1132199065553235974	Australia	193	311	🇦🇺🌸
fredash85927759	shannon	1499466516634480653		4	190	
Emily_Irene4	em	411579321	Nashville, TN	343	204	she/her ♊️☀️ ♌️⬆️ ♍️🌚
bsm_as	Asil Besim	1502745588818980866	Crystal Palace	9	383	This City now doth, like a garment, wear The beauty of the morning: silent, bare, Ships, towers, domes, theatres, and temples lie
Mermarietho	Spoopy Jim 𓆏	722620867507724288	Crack House	54	266	I just love my dog, man😭💖
Carina86337044	Carina	1502768901138128902		0	30	I like the burnt crispy bits of chips and fish batter. That's all
nurseelisse	Elisse Trissel	1344987780	Noblesville, IN	28	132	
Suekenn03854667	Goofy Boy	1271771330296283136		0	13	
Anba_LenU2B	Anba #無敵子分( *｀ω´)	422207683	Banana islands (&België)	3908	471	I'm Anba, someone that is something like a human??.... BananaPrince and Yt-cover-artist. icon @Haruhana_H Header = Me. Tipping jar: https://t.co/Cyodr8kMDu
batman128941	Liam	1502513336394522626		0	82	He/him | bisexual | I am Batman |
balorbambino	♡	1030897806872137729	he/him	616	1623	sub 2 bambinobecky ☺️🙌🏼👌🏼💯
salma_haniff	sally	236538644	Queens, NY	214	592	💽🌿🐛💌✨
imdoodlir	imdoodlir	1074604842000080896		63	107	keen doodlir comic maker on https://t.co/MyxsnP2Fpx
MarilynChaisson	Marilyn Chaisson	2305285650	Dartmouth, Nova Scotia 	54	299	Animal rights advocate
youmakemecth	L. sees 5sos in (i cant count) days🇺🇦	1445380103161143304	she/they	516	691	just a person i guess
noorsinternet	noor	4898798538	Butt's Green, England	26	23	ew
EatDrinkBrandy	Brandy	73053344	Santa Monica, CA	2203	4994	SF Bay Area native 》Santa Monica, CA • SF Giants fan • Effusive gastronome & bon vivant • She/Her
MystinAz	🦋Myst E. Blue🦋	207923551	 Arizona 🌵 Native 	18459	17911	#AdoptdontShop I have 3 black baby boys, Beans,Bobby,Binx 🐈‍⬛🐈‍⬛🐈‍⬛ #IChooseAmerica💙#PresidentBiden☘❤🤍💙#Empath🌻🐞#ProUnion💯💙💛#Ukraine💛💙🌻🌻🌻🌻🌻
Mimijnm	Memi3	845613602	Subn Chicago, USA	1383	3100	Love my country, grandkids and dogs! (husband too I guess 😜) Have lived Truman to Trump. Always Vote Blue!! Won’t reply to rhetorical Trumpers. No DMs
jaebeckham	J-AYY	1105936335628627968	Kentucky, USA	10	29	I'm washing me and my clothes bitch, I'm washing me and my clothes.
ellen_gbp	Get Your COVID-19 Vaccine	2798979048	Buffalo, NY	202	567	MA English Lit 📚 Producer @greenbflo 💚 Co-Host @CelluloidStage Moderator @theatre_buffalo
TheDakotaSunset	Cat	186895690	England, United Kingdom	75	759	We’re all stories in the end. ❤️
thepinkmamablog	kayleigh	2316854872	Manchester, England, UK	750	701	
celialestial	celery	710977303401119745	brooklyn	64	319	yes hello (she/her)
molly_fehon	Molly Fehon	839343902490517508	Bristol, RI	29	203	Dog enthusiast, science nerd, nap aficionado.
BettieWoodQueen	Bettie Wood	1217340618		314	669	They/She Venmo: @bettiewoodqueen Cashapp: $bettiewoodqueen
raso_pat	Pat	789136874132627456		27	364	
Stephen30457530	Stephen W	1032348101632303105	Norman, OK	1444	3058	Proud supporter of the MSM. Moderate Democratic centrist. Go Oklahoma Sooners! DM’s will be *blocked*
arthurs_bryan	Bryan Arthurs	1494256398691090433		0	88	
imin_nimi	Rokk	2942539869		0	397	
silkethl	Silke	354416673	Deventer, Nederland	19	240	
FionaSHS	🕊🌻Hope&❤️ #Ukraine🌻🕊	1260612613010001923	Canada	204	413	Happily married. Trying to raise decent & caring little humans. Novice gardener. Love baking. #BeKind everyday. Tweets are my opinions #LGBT #BLM
0fmountains	A’aisha 🍂	334481281	Wilderness	217	180	
TheVintageNerdd	TheVintageNerdd	884439029017714689		60	187	Fun, Casual and easy-going! https://t.co/QpmGk6wvoP
gabipolarrr	g	1193239660320956417		66	631	cuasi-bióloga. me duelen los huesos y veo novelas. lo único que me diferencia de tu tía abuela es que yo no te voy a preguntar por tu novix
tonianicoles	tonia🖤	798576638		138	164	23. event coordinator. dr. pepper addict. capricorn. estj. soft emo.
NateHancock	Nate Hancock	51181158	SPAIN / USA	977	3537	HUSBAND, MUSICIAN, ARTIST, PRODUCER, ENTREPRENEUR, INVESTOR, #BITCOIN, #ETHEREUM, #CRYPTO, #NFT. The path to success is taken one step at a time.
wake_up_jk_	Mal	1477457934086914048	Jersey City, NJ	6	252	do you think you are being sneaky? :)
linasdragrace	lina’s drag race ✨#teamwillow #teammarina	1502764293955231752	any pronouns	7	196	obsessed with drag (maybe a bit too much)
LovinShootOuts	Beth Hood	224217463	Stouffville, Ontario	74	601	Reg. Nurse, outdoor enthusiast, health buff & life long hockey lover
HIMariaOliveira	Maria Oliveira	890268742256603136	Austin, TX	197	486	Co-Founder @PassportVintage
1980sepo	kev sheils U12's jogo	303877847	Liverpool, England	499	1331	#focus in life# Losers quit when they're tired. Winners quit when they've won.EFC every breath i take💙⚽️
toniplum	Toni Plumides	70700608	Charlotte, NC	10	41	I love genealogy and I am a genealogist. I act and model and teach ballroom dance. I sing and paint. I paint in watercolor and oil I have a Fne Arts degree.
tjmctjmc	Timothy McGrath	494240881		41	458	
johnwwysocki	John Wysocki	1477429105092182021		0	4	
Deecauley	Dee Nicole	1643593136		197	692	#Business owner #MyFamily ❤ #Free Spirit #Creative #Whiskey in a teacup #I can do all things through CHRIST #Faith secures my bag💰
MrYorkshireRose	𝓓𝓪𝔃𝔃𝓪20006	1497362143074832387		14	1438	
RobertoBena6	Roberto Bena	1502755909466050563		9	141	
honeymoondodie	jas	1478994536	uk	810	1893	most known for her love of ariana, abba n james acaster. she/her
culpepper_carol	Carol Culpepper	778658527422271489		3	165	
MichaelMcCarty6	Michael McCarty	412644212	Rock Island, Illinois	1903	2460	I get paid to write scary and weird books -- check them out if you are not afraid. I'm 5-Time Bram Stoker Finalist. Author of over 50 books ...
AlurasMom	EatCakeLove	82150977	 Pittsburgh, PA	78	331	Books.Baking. Beaches!
RooJitsuu	Roo	948248428085202944		0	474	
k8iemarc	katie marcelino	2463142749	☁️	514	796	she/her. WU MT ‘22. tpwk.
bloodxhound	𝔠𝔥𝔩𝔬𝔢	816355693	oregon	400	390	𖤐
Snowflake4love	Awesome Snowflake	4805663479	Portland, OR	15	84	Snowflake ❄️, Registered Nurse (Also referred to as 🤡 by Twitter fans)
cami_2_luv	ë yæh	1263126872512253953	fuck off lmao	4	81	nothin here really. i also go by tj. #blacklivesmatter
Losephine9	Lo	807292847221313537		36	433	evil and sadistic butch lesbian she/her
SEA2MIA	SEAtoMIA	1274481783606738946		41	287	Retired Seattle Firefighter of 29 years Dancer forever SeattletoMiami on lies now I'm just trying to survive with Me and My Echo. https://t.co/1hFTZzE04O
carla_rperez	c a r	1040310309083340805	Avilés, Spain	54	302	🦖 Asturiana 💙💛. Fan nº1 del Mercadona
logancolephoto	LOGAN COLE	230657797	Los Angeles California 	1034	129	Photographer of people & weddings
SSellars83	Ssellars83	1463315765583511554		6	403	Minneapolis Saint Paul, Minnesota.
seank_____	Sean	3245844697		11	53	
yourboyrorry	Your boy Rory	1478164328314458113	New York, NY	9	311	🔥🥵🔥
julieat60	Julie Tidd	4855305755	Ohio, USA	280	689	Red hat hater, blues are my politics and my music. Resister til the bitter end. Love people with good intentions. Hate hypocrites and bigots.
AndreaMirra7	Andrea Mirra	1500232115895422977		0	22	
SMSA77765858	SMSA	1376109207028662275		5	382	
mccabe_helena	Helena McCabe	3069590651		1	58	
Misundastood71	1800blkbwoy	1210155174188199936		49	425	DIVERGENT🎯
bautistaarchive	Ryan	1451424038803283973		0	178	
BeckyPa26138209	Becky loves animals	1502122267873923074		2	80	
jajehejrirn8134	onthelooseacabturtles	1266758003509755910		0	22	
_BlackMamba0_0	A	1066803189339455488	Las Vegas, NV	95	311	South Jersey Girl
foxxxely	𝕝𝕒 𝕞𝕒𝕝𝕚𝕟𝕔𝕙𝕖	234962052	🕳	400	942	just an adult-sized 90’s kid • 📼 • الحمد الله • INFP • she/her • ♒︎ • 🇲🇽
SusanGailBrown	Susan Brown	1265332859692335104	Levittown NY	1580	2343	Retired not dead. Feminist grandma of 8. Married to The Jewel for 49 years. Don’t blame me, I voted for Hillary.
YellowhelloAdam	yellowhello	1954766161		18	306	
janetolivia629	Jane Washington	1501175287555534851		26	952	
dc_davo	Davo	461619539		30	420	
IrishRedSoxGirl	Tammy Belter	28817019	Arizona	207	1479	Anything Boston has my soul, everything baseball has my heart. Only one coach in the world is my everything❤️⚾️
godspeedsmillie	millie ꕥ	1378075288853217281	she/her | 17 | bi	36	232	i just shout into the void
remingtonsosa	remington	1742360072		1469	218	nsfw 18+ | artist/producer/songwriter
saylor_debi	Debi Saylor	1502756480679882759		0	23	
fefosaxcx	fernando	1500692188245766145		3	125	
groenestraal	hommybird	1379735421849108481	Súdwest Fryslân, Nederland	14	94	
SVolpe	Sharon Volpe	155353665		539	1779	I teach calc & linear alg. The husband & I love sports & music. I can't imagine my world without the people who live with me. Personal open acct. She/her
KatHendricks3	Kat Hendricks	981952863365558272		1	176	
calswmr	Ramey	737571782	USA	10	196	
megsypascoe	MegsyP	468711994		427	1083	love movies, arts, gardens & pretty things. tea or coffee? think ill choose tea 🫖 festival producer for peninsula film festival and perfect light film fest 🎥
LawrenceCrook14	Lawrence Crook	1502753617689948162		0	14	
MandMzMom	bless their heart.....idiot	33606302		6	95	mother of two “adults”.......that I love more than life, .....daughter, sister, aunt, cousin, friend. she/her
Marimom37	Marimom	1286055573910364160	United States	9	53	Mom, Nana, Life Coach NY/FLA
briely_movric	Briely Movric	990907363199668224	Melbourne, Victoria	21	805	
madisvvn	madi 🦔	1204221402922078208	she / her	13	150	in my clown era
Katy_Goulding	Katy Goulding	308727233		195	1134	
DrCats_Climate	Dr.Cats4Climate (she/her)	2276919089	Delaware	492	1143	climate justice, environmentalist, #LBGTQ+, higher education, mom, science rules, #getvaccinated
ZionDean7	ZionDean	1499516932432748547		1	15	
jromonoysk	Jennifer Romonoyske	125493300	New York, USA	32	769	New Yorker, Photojournalist
Disaster_autist	Cooper USM	1500162367014977537		12	147	
CBUSCheeseSteak	Hall and Oates #2	978608693846663168	Columbus, OH	38	390	
mamasoaf	Laurel Soffa	64834946		1297	1910	Love my family, friends, and country. Will fight to help maintain an America that promotes the rule of law and the inclusion of all. #Resist
_514HockeyTalk_	Matt Britton 🇺🇦 	981229378825801728	Châteauguay, Québec	988	3394	Me: Matt Britton. Husband, Father, Grandfather and Chef. Bleed the Bleu Blanc Rouge and Love Hockey, Music, And Life. #GoHabsGo - Go #Flames too.
agustinaquinci	Agustina Quinci	87096756		7844	1005	Actriz y cantante argentina residiendo en CDMX.
MollieNiiamh	Mollie	308562358	East Sussex, England	439	662	23, awkward and extremely pale
Kcooliocoolio	Kristin Coffman	776124847		4	107	
skurtuldu76	Selda Kurtuldu	103281630	Hackney	1547	1736	Head of Business, #LeadPractitioner @skinnersacademy Hackney. #Trustee for #FreedomCharity fighting against #forcedmarriage & #FGM. Earthquake,DV & FM survivor
adriescala	adriesca🦔	2509443199	she/her	352	404	cares
zxxyg	ziggy stardust	45252987	California, USA	224	164	A very chaotic, public diary. I love rl grime, bowie and Harry styles
CynchaBlue	Cyncha	1500244117871288322		151	430	Grandma, great grandma, Air Force veteran, retired Postal Service. Vote Blue to save Democracy! NO 👎 DMs!
sgmacor	Silvia G. Macor	34013432		1053	2471	lipstick librarian, Florentine, wife, mother, educator
kat_paff	Kat Paffett	1102405520	PHILADELPHIA, PA	62	223	
hidetheblade	squirterer.eth🌼	126583741		2578	1613	Squirting ideas on canvas. i make jpegs. fine artist living the dream https://t.co/ToPPUKFJNe
someone14803463	someone	1297334076324618241		0	64	
MarilynMackey	Marilyn Mackey	2962365353	Ohio	1036	1816	Blue #Resister in tRUmp-land.
notojulia	antifa baby	741063865790652416	Los Angeles, CA	62	280	what the https://t.co/36bhixaaM5 81 years old mm girl?
partigirl69	w	1243584136465563656		3	294	Tulin tänne vain voimaan pahoin
